"code_muni","nome","2000","2002","2004","2006","2008","2010","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
5103106,"Cocalinho",2007.4572,503.0559,476.7642,316.0332,240.0921,152.694,130.1958,166.9923,35.4384,90.5517,101.4786,91.9215,45.0846,86.1831,44.2071,62.0145,89.3358,51.3828,45.5463,40.9311
5103304,"Comodoro",261.6399,77.9292,181.7154,70.8813,24.4989,15.5718,11.5047,21.7593,11.7414,16.5123,17.0604,15.2262,16.2198,11.6613,40.1319,18.3456,34.7499,36.1206,2.3517,5.5737
5103353,"Confresa",0.1476,0.8361,0.0099,0.8073,0,0,0,0,4.7907,0,0,0,0,0,0,0,0,0,0,0
5103361,"Conquista D'oeste",28.9638,4.6098,11.7072,24.4179,4.2534,0.2493,0.504,1.0296,3.9888,1.7307,8.7183,0.4077,1.9278,0.0468,1.5309,2.0718,1.2564,6.4602,0.0126,3.6657
5103403,"Cuiabá",1712.6433,98.2062,84.573,84.9861,64.0269,27.2736,31.5657,24.489,11.3346,25.794,11.0448,11.8179,11.2527,12.1806,8.5275,12.141,8.2944,7.4556,13.0779,9.7992
5103452,"Denise",0.7281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103502,"Diamantino",4122.7839,212.8437,389.034,76.0383,62.0019,20.5758,14.8977,25.1559,33.8337,16.3404,26.7489,5.3127,9.0405,4.1463,4.5054,5.6277,5.1615,8.1846,4.3596,13.0365
5103601,"Dom Aquino",1541.448,47.9997,23.7078,24.3135,23.1183,4.2885,5.8302,2.1933,0.9603,2.682,0.3312,5.5116,5.7402,1.9566,2.5866,2.4975,0.5697,0.5229,0.4383,0.4275
5103858,"Gaúcha do Norte",487.5642,45.369,48.222,26.3574,13.6647,13.4019,10.5966,7.821,11.2023,11.826,1.1268,12.051,7.4673,11.6343,1.0035,1.3572,4.7376,4.3155,7.3818,5.5323
5103908,"General Carneiro",1868.6763,129.2364,138.5991,59.1984,24.7842,35.2935,27.2322,15.381,11.3085,25.2369,8.6517,12.8178,9.72,11.4858,10.0863,15.7545,10.2132,4.1526,4.8186,0.6426
5104203,"Guiratinga",1797.651,117.4338,124.0056,73.9872,43.5636,38.6307,26.541,20.8611,9.7506,38.7072,13.1652,16.7229,20.2896,10.8846,12.8349,11.4129,5.7078,9.4032,6.6708,12.5163
5104500,"Indiavaí",11.6928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5104526,"Ipiranga do Norte",264.1176,30.2445,8.9838,1.4715,1.008,0.405,0.8019,0.1926,0,0.2187,0,0.1521,0.0234,0.0567,0,0,0.0135,0,0,0
5104609,"Itiquira",4847.0481,135.801,130.1229,74.3778,18.7839,11.0673,6.4071,4.0284,3.4992,13.5558,2.6082,5.3991,6.0201,5.0328,2.6847,1.1178,1.3338,2.8602,2.1771,0.1215
5104807,"Jaciara",2015.5707,26.0712,17.8533,19.4265,14.7375,3.3111,3.8745,1.3806,0.4626,1.5435,9e-04,0.0585,0.3177,0.2916,0.1368,1.5399,0,0.0018,1.0908,0.0729
5104906,"Jangada",286.4835,53.2503,104.0238,53.0181,25.6365,8.5626,5.3181,12.2112,9.0153,13.6485,4.554,4.7277,6.0255,5.445,7.2801,1.9935,3.3084,5.5836,2.8053,3.6927
5105002,"Jauru",38.4084,0.9585,2.3085,4.4496,0.9072,0.8118,0.2835,0.1278,0.5292,0.5031,0,0.8055,0.5166,0.1863,1.7289,3.4461,0.1575,0.3447,0.4923,0.2043
5105150,"Juína",12.4731,5.4126,32.625,6.8364,6.6465,1.0233,0.6471,1.4337,1.458,0.7533,16.2936,0.9252,1.0836,2.8476,0.7245,1.6191,2.3571,5.8914,5.8212,1.6623
5105200,"Juscimeira",1775.619,60.1686,86.211,16.3062,8.3691,6.3846,3.8088,3.0528,0.9198,2.2644,0.7065,1.7586,1.2708,0.1278,0.4608,0.7632,0.3852,0.7506,0.693,0.2538
5105259,"Lucas do Rio Verde",2261.5227,69.4071,69.9318,12.3471,28.1655,5.2533,7.8984,7.7445,6.0264,5.7294,0.5796,0.9513,1.2861,0.963,0.1989,1.0719,0.1917,0,0.7119,0.2142
5105309,"Luciara",194.9805,39.9249,22.2417,13.05,25.3791,7.2837,1.7658,5.8311,2.9781,9.8721,6.6888,3.8133,10.1151,3.1356,10.3032,11.0187,11.8719,10.4139,12.3588,1.5219
5105903,"Nobres",1049.6358,125.2773,102.9843,95.5827,63.6399,35.2953,63.3015,33.8274,83.5488,46.6623,15.7797,27.7497,25.0461,15.3864,20.4579,13.5981,7.9155,4.9194,2.9457,1.1736
5106000,"Nortelândia",209.7423,1.2555,0.5697,0.0513,0.9378,0.0747,0,0,0,0.027,0,0.0666,0,0,0,0.1962,0.0387,0.1665,0,0
5106109,"Nossa Senhora do Livramento",1061.0514,162.8244,208.8639,121.5459,69.2136,52.6104,17.874,57.4389,20.9079,30.6459,41.4855,11.8188,42.6708,20.7873,28.8018,22.3542,16.2837,11.7414,9.936,14.6619
5106174,"Nova Nazaré",547.2819,152.6058,99.2637,42.0273,66.6333,12.4389,18.9531,6.7014,6.2991,17.9802,12.9663,74.9745,25.2126,35.2044,8.3295,12.0501,8.7777,3.2157,2.8467,1.0674
5106182,"Nova Lacerda",22.1679,33.84,49.1886,25.8354,8.8758,14.2227,0.288,9.0963,5.2209,4.7727,14.5386,5.1957,6.2478,1.3842,6.8166,15.4197,12.3642,21.1041,4.7736,15.4134
5106208,"Nova Brasilândia",1594.1421,117.1206,70.3305,50.4387,78.5268,34.1559,56.6766,30.8286,12.3966,26.4942,8.2926,10.341,13.0122,11.4633,10.6173,14.8203,14.337,2.4165,15.2856,1.9233
5106224,"Nova Mutum",3567.8556,194.0535,248.6772,85.1913,119.25,17.6859,33.6042,10.8207,8.0361,7.3638,2.0169,3.3201,6.4944,27.2403,4.8987,4.5747,11.34,10.9926,0.2628,8.6103
5106240,"Nova Ubiratã",275.4531,29.6244,6.2478,1.3959,4.6494,1.4058,0.6507,0.2259,1.1421,0.3654,1.5453,3.24,0.1008,1.7676,2.3004,0.1395,0,0,0,0
5106257,"Nova Xavantina",2302.9299,319.3416,284.247,120.168,129.7062,52.4475,37.4418,36.3447,18.8343,50.8869,27.7668,22.6233,19.7487,14.157,17.4321,24.7077,15.6429,10.6416,5.9544,10.9809
5106281,"Novo São Joaquim",2374.9551,223.9308,365.6844,104.9904,94.4262,54.7326,49.5459,42.2577,31.2327,47.2158,25.5546,31.7745,13.5315,18.2304,9.1224,15.7239,6.9219,7.5672,7.0497,0.9324
5106307,"Paranatinga",4095.8928,335.4885,704.4597,345.2778,214.4646,188.5572,239.7492,286.6419,73.0638,113.5143,63.4221,40.6548,72.9423,48.933,34.3026,43.2351,57.9168,37.9431,41.4873,41.6583
5106315,"Novo Santo Antônio",119.6559,23.0436,46.179,26.7786,29.8908,15.9831,8.0136,9.9306,2.3328,4.2759,10.7865,8.568,7.0164,10.4157,13.2957,26.7381,9.9828,3.2022,4.8447,2.4354
5106372,"Pedra Preta",2340.1062,53.8596,57.6333,41.3361,15.3648,18.2124,19.4373,5.8977,3.4263,7.0443,1.7028,4.4109,11.5713,4.0113,6.9642,2.0385,0.3303,1.368,0.3339,0.8505
5106455,"Planalto da Serra",1154.4669,103.7304,77.6187,39.501,49.3434,33.7716,51.3684,22.842,28.8288,34.7148,16.1163,6.1848,18.4302,5.0634,3.4929,6.0633,4.2399,2.4111,2.0286,0.7101
5106505,"Poconé",1317.1356,117.4248,198.6948,59.8581,96.7617,45.6732,8.7597,47.1051,13.5135,22.8789,22.4532,13.0662,25.0695,22.0014,21.5496,17.3538,8.8803,6.5664,3.969,6.1668
5106653,"Pontal do Araguaia",898.2279,159.9615,166.194,110.1987,31.1625,32.211,38.6163,16.4988,12.5253,26.3646,8.2188,7.2891,12.0177,9.9963,5.1138,5.6646,7.6806,7.1721,2.421,2.0799
