"code_muni","nome","2000","2002","2004","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
5102678,"Campo Verde",3177.646928,156.810177,260.967825,35.533148,0,38.48773,0,16.904242,0,5.020645,4.550033,3.247268,3.329999,8.362176,9.326285,14.617033,2.959933,1.104553,0.447427,0.582389,1.110518,4.769401
5102686,"Campos de Júlio",1865.210192,270.528361,527.465731,76.297678,0,26.862109,0,27.318304,0,32.374087,26.024662,33.651312,30.382586,35.774825,48.662691,32.093342,35.575051,20.380441,23.145618,35.293655,8.088012,0.626488
5102694,"Canabrava do Norte",247.918249,58.743449,48.406602,34.184713,1543.529761,39.087333,6.793435,16.27462,13.090087,6.091764,33.838395,25.192472,27.923465,28.740716,11.62792,21.719584,17.078651,15.813655,19.206476,14.853927,9.054665,6.474019
5102702,"Canarana",2793.199933,211.369969,212.335299,83.560659,1766.286396,49.267513,0.370407,32.768229,1.911882,13.393373,31.719156,21.829537,14.458608,19.932104,7.463359,43.317452,32.030292,27.243695,7.372616,10.545613,26.23196,9.42481
5102793,"Carlinda",0,0,0,0,1717.80818,3.946155,0.196224,0.559332,0.816708,0.134904,4.451208,1.562992,3.040679,5.064208,2.435218,2.432754,2.392686,1.577845,2.191326,1.460452,2.237498,1.775978
5102850,"Castanheira",0,0,0.01225,0.01225,2315.404273,27.501285,15.661219,9.130301,7.313551,11.573262,8.106268,5.334188,10.513066,11.904163,7.754758,3.649668,9.337035,7.182533,4.776017,3.930349,2.89552,1.033375
5103007,"Chapada dos Guimarães",2169.594415,211.177272,156.157001,95.011645,0,101.771018,0,54.77585,0,50.989453,34.574735,18.543548,24.543302,21.343478,14.621679,21.524987,16.788999,16.923155,12.723094,11.256112,8.572379,8.753303
5103056,"Cláudia",0,0,0,0,1489.142563,26.426268,25.207575,8.550655,11.658922,3.94915,19.45754,25.736739,43.427631,13.959348,31.708293,50.555399,93.516312,44.22628,24.554508,16.629403,39.25046,20.95426
5103106,"Cocalinho",1925.997856,482.962409,457.470772,303.465009,0,230.453021,0,146.595413,0,125.061769,160.171237,34.053544,86.943039,97.462177,88.281433,47.38671,82.895913,46.563158,62.278147,90.179501,50.298038,52.602517
5103205,"Colíder",0.337364,0,0,0,2511.362004,9.545699,2.491885,0.889908,1.146896,1.982769,1.614972,1.98183,14.728009,5.149207,4.338422,3.84042,8.538364,5.827336,6.302533,3.577554,2.775082,0.923256
5103254,"Colniza",1.143579,0.674193,0.029886,0.127455,3325.400872,123.279374,74.932728,80.012823,90.028345,81.123738,159.482599,146.181418,262.062349,224.450271,175.093978,235.600638,204.505814,238.368108,268.77551,400.378389,150.090039,114.810748
5103304,"Comodoro",330.203629,102.124227,212.010735,106.866932,2568.242515,70.15249,10.786471,48.565541,13.391144,16.242326,61.100865,63.575973,49.471619,47.456985,36.697824,78.042927,60.836638,72.470722,50.631458,60.2867,46.592059,8.890888
5103353,"Confresa",99.879758,19.488633,34.442792,13.286505,3636.35851,78.503382,7.339373,17.214223,26.97812,49.457548,26.431749,33.361959,27.793344,23.291373,26.814782,16.642021,14.602748,32.644964,38.51433,38.401794,15.636855,5.174554
